by,descendants,id,kids,score,time,text,title,type,url
clemenssielaff,0,15743448,,3,1511213183,,Show HN: The C++ breakable scope macro,story,https://github.com/clemenssielaff/breakable_scope
hidiegomariani,5,15730780,"[15733422, 15733613]",20,1511040256,,Show HN: Who is mining? checks if a website is mining crypto currency,story,http://whoismining.com
interpfister,8,15731369,"[15731679, 15732152, 15733102, 15732217]",49,1511048942,,Show HN: Voice-z-machine – Enables playing z-machine games via a webservice,story,https://github.com/interpfister/voice-z-machine
pedsmoreira,0,15738529,,8,1511165441,,Show HN: An experimental music player built with ReactJS+MobX+Premiere,story,https://premiere-player.herokuapp.com/
san_at_weblegit,1,15740845,[15743002],3,1511193773,,"Show HN: A simple, scalable, flexible and economical URL Shortener for Web",story,https://github.com/weblegit/urlshortner
rayalez,12,15726923,"[15730980, 15728381, 15726925, 15728808, 15735581, 15728083]",27,1510962372,,Show HN: Helix – a habit tracking app,story,https://helix.startuplab.io/about
djebel9,0,15739399,,5,1511180497,,Show HN: Deep siamese LSTM network to capture phrase/sentence similarity,story,https://github.com/dhwajraj/deep-siamese-text-similarity
tjholowaychuk,61,15731936,"[15732165, 15732458, 15732389, 15732528, 15732406, 15732766, 15732279, 15734138, 15732857, 15732558, 15732735, 15732843, 15734376, 15734018, 15732240, 15732682, 15732845, 15732383]",111,1511058922,,Show HN: Node.js node_modules file pruning,story,https://github.com/tj/node-prune
AquiGorka,0,15738317,,3,1511161546,,Show HN: A Christmas-themed remote controlled 3D puppet,story,https://santa.puppets.life/
viktorelofsson,12,15725436,"[15725853, 15727085, 15728588]",19,1510948358,,Show HN: Cryptob.in – A snippet share tool with client-side encryption,story,https://cryptob.in/
nirma,0,15737572,,3,1511148935,,Show HN: iOS UserDefaults library for Swift 4,story,https://github.com/Nirma/Default
Ffloriel,3,15733459,"[15733535, 15733758]",8,1511091438,,Show HN: Remove unused css with Purgecss,story,https://github.com/FullHuman/purgecss
wybiral,0,15744135,,2,1511218678,,Show HN: Build an RSS Feed Reader in Python,story,https://www.youtube.com/playlist?list=PLmxT2pVYo5LBcv5nYKTIn-fblphtD_OJO
10dpd,0,15727207,,4,1510966955,,Show HN: AR Fairground,story,http://www.arcompose.com
flaque,1,15730004,[15730154],20,1511028773,,"Show HN: Aurora, a pluggable note taker",story,https://medium.com/@flaqueEau/aurora-the-hackable-note-taker-ab2c20ba6c22
mcemilg,7,15725771,"[15727397, 15725773, 15726575]",36,1510951089,,Show HN: Nearly 50% of the tensorflow tagged questions on SO are unanswered,story,https://stackoverflow.com/questions/tagged/tensorflow?sort=unanswered
Schampu,3,15729538,"[15743631, 15733149]",4,1511021684,"Hi there,
this is a toy project I worked on for the past months. It&#x27;s an early stage pokemon emerald emulator. Maps, tiles, animations, warps, sprites etc. are extracted from the provided ROM file.",Show HN: Pokemon Emerald Emulator,story,
tslmy,0,15728830,,5,1511011015,,Show HN: LaTeX-Input for iOS + macOS (A Text Replacement definition plist file),story,https://github.com/tslmy/latex-input-iOS-macOS
mikface,0,15726402,,3,1510956476,,Show HN: Ryanair cheapest multicity finder,story,http://airx.mikface.com
squidarth,3,15723768,"[15723893, 15724291, 15724014]",18,1510938364,,"Show HN: RubyProctor, a website for developing Rubocop rules",story,http://rubyproctor.com/
okwme,0,15733938,,5,1511100573,,Show HN: CLI for Making Dapp Modules from Solidity Contracts (tutorial w Vue.js),story,https://medium.com/@billyrennekamp/dapp-scratch-a-cli-for-building-dapps-and-tutorial-for-building-your-first-one-5cabdff3771e
ncdev,0,15727995,,3,1510986320,,Show HN: Awesome-human-touch,story,https://github.com/nchah/awesome-human-touch
l1am0,0,15744088,,1,1511218273,,"Show HN: Currex, Just another currency API",story,https://currex.info
karlhadwen,0,15744031,,4,1511217858,,Show HN: Modular Website Builder,story,https://33i.co/
tal_berzniz,0,15743652,,1,1511214828,,Show HN: Stream your Mixpanel events to Slack in real-time,story,https://github.com/toriihq/mixpanel-to-slack
kaisen99,0,15742806,,5,1511208708,,Show HN: ViroCore – SceneKit for Android for AR/VR Applications,story,https://virocore.viromedia.com/
martyalain,2,15742474,"[15750941, 15742480]",2,1511206305,,Show HN: (lambda code),story,http://lambdaway.free.fr/workshop/?view=lambdacode
solarisn,0,15741756,,3,1511200834,,Show HN: Cryptocurrency chatbot for the Google Assistant,story,https://assistant.google.com/services/a/id/5b4cd66d9957311b/
napsternxg,0,15741517,,1,1511198782,,Show HN: Visualization of TF-IDF scores using NIPS 2017 poster titles,story,http://shubhanshu.com/document-term-weighing/
DKJ,0,15741392,,5,1511197756,,Show HN: GraphQL Server Documentation Generator,story,https://github.com/dhruv-kumar-jha/graphql-doc
smasty,0,15740941,,1,1511194309,,Show HN: StackLetter – A Personalized Newsletter for the Stack Exchange Network,story,https://www.stackletter.com/
m___p,1,15740932,[15740945],2,1511194259,,"Show HN: Simple Weather Oracle for Tezos (built with Go, Michelson and Dark Sky)",story,http://martin.pospech.cz/post/getting_started_with_tezos_4/
